,Country,Value,Year,Sex,Indicator,id
0,Austria,9.4,2010,Tot,EMP8,40
1,Belgium,8.1,2010,Tot,EMP8,56
2,Czech Republic,8.9,2010,Tot,EMP8,203
3,Denmark,8.4,2010,Tot,EMP8,208
4,France,15.1,2010,Tot,EMP8,250
5,Germany,14.5,2010,Tot,EMP8,276
6,Greece,12.6,2010,Tot,EMP8,300
7,Hungary,9.8,2010,Tot,EMP8,348
8,Iceland,12.4,2010,Tot,EMP8,352
9,Ireland,9.6,2010,Tot,EMP8,372
10,Italy,12.7,2010,Tot,EMP8,380
11,Luxembourg,7.1,2010,Tot,EMP8,442
12,Netherlands,18.5,2010,Tot,EMP8,528
13,Norway,8.4,2010,Tot,EMP8,578
14,Poland,27.3,2010,Tot,EMP8,616
15,Portugal,22.8,2010,Tot,EMP8,620
16,Slovak Republic,5.8,2010,Tot,EMP8,703
17,Spain,24.7,2010,Tot,EMP8,724
18,Sweden,16.4,2010,Tot,EMP8,752
19,Switzerland,13.1,2010,Tot,EMP8,756
20,United Kingdom,6.1,2010,Tot,EMP8,826
21,Estonia,3.7,2010,Tot,EMP8,233
22,Slovenia,17.3,2010,Tot,EMP8,705
23,Latvia,7.1,2010,Tot,EMP8,428
24,Lithuania,2.4,2010,Tot,EMP8,440
0,Austria,9.5,2011,Tot,EMP8,40
1,Belgium,9,2011,Tot,EMP8,56
2,Czech Republic,8.5,2011,Tot,EMP8,203
3,Denmark,8.8,2011,Tot,EMP8,208
4,France,15.4,2011,Tot,EMP8,250
5,Germany,14.5,2011,Tot,EMP8,276
6,Greece,11.8,2011,Tot,EMP8,300
7,Hungary,9.1,2011,Tot,EMP8,348
8,Iceland,12.2,2011,Tot,EMP8,352
9,Ireland,10.2,2011,Tot,EMP8,372
10,Italy,13.3,2011,Tot,EMP8,380
11,Luxembourg,7.1,2011,Tot,EMP8,442
12,Netherlands,18.3,2011,Tot,EMP8,528
13,Norway,8.1,2011,Tot,EMP8,578
14,Poland,27,2011,Tot,EMP8,616
15,Portugal,22,2011,Tot,EMP8,620
16,Slovak Republic,6.7,2011,Tot,EMP8,703
17,Spain,25.1,2011,Tot,EMP8,724
18,Sweden,17,2011,Tot,EMP8,752
19,Switzerland,12.9,2011,Tot,EMP8,756
20,United Kingdom,6.2,2011,Tot,EMP8,826
21,Estonia,4.5,2011,Tot,EMP8,233
22,Slovenia,18.2,2011,Tot,EMP8,705
23,Latvia,6.6,2011,Tot,EMP8,428
24,Lithuania,2.7,2011,Tot,EMP8,440
0,Austria,9.3,2012,Tot,EMP8,40
1,Belgium,8.1,2012,Tot,EMP8,56
2,Czech Republic,8.8,2012,Tot,EMP8,203
3,Denmark,8.5,2012,Tot,EMP8,208
4,France,15.3,2012,Tot,EMP8,250
5,Germany,13.7,2012,Tot,EMP8,276
6,Greece,10.2,2012,Tot,EMP8,300
7,Hungary,9.5,2012,Tot,EMP8,348
8,Iceland,13,2012,Tot,EMP8,352
9,Ireland,10.2,2012,Tot,EMP8,372
10,Italy,13.8,2012,Tot,EMP8,380
11,Luxembourg,7.7,2012,Tot,EMP8,442
12,Netherlands,19.4,2012,Tot,EMP8,528
13,Norway,8.6,2012,Tot,EMP8,578
14,Poland,26.9,2012,Tot,EMP8,616
15,Portugal,20.5,2012,Tot,EMP8,620
16,Slovak Republic,6.8,2012,Tot,EMP8,703
17,Spain,23.4,2012,Tot,EMP8,724
18,Sweden,16.4,2012,Tot,EMP8,752
19,Switzerland,12.9,2012,Tot,EMP8,756
20,United Kingdom,6.3,2012,Tot,EMP8,826
21,Estonia,3.7,2012,Tot,EMP8,233
22,Slovenia,17.1,2012,Tot,EMP8,705
23,Latvia,4.7,2012,Tot,EMP8,428
24,Lithuania,2.6,2012,Tot,EMP8,440
0,Austria,9.2,2013,Tot,EMP8,40
1,Belgium,8.2,2013,Tot,EMP8,56
2,Czech Republic,9.6,2013,Tot,EMP8,203
3,Denmark,8.8,2013,Tot,EMP8,208
4,France,16,2013,Tot,EMP8,250
5,Germany,13.3,2013,Tot,EMP8,276
6,Greece,10.1,2013,Tot,EMP8,300
7,Hungary,10.9,2013,Tot,EMP8,348
8,Iceland,14.2,2013,Tot,EMP8,352
9,Ireland,10,2013,Tot,EMP8,372
10,Italy,13.2,2013,Tot,EMP8,380
11,Luxembourg,7.1,2013,Tot,EMP8,442
12,Netherlands,20.5,2013,Tot,EMP8,528
13,Norway,8.5,2013,Tot,EMP8,578
14,Poland,26.9,2013,Tot,EMP8,616
15,Portugal,21.4,2013,Tot,EMP8,620
16,Slovak Republic,7,2013,Tot,EMP8,703
17,Spain,23.1,2013,Tot,EMP8,724
18,Sweden,16.9,2013,Tot,EMP8,752
19,Switzerland,12.9,2013,Tot,EMP8,756
20,United Kingdom,6.2,2013,Tot,EMP8,826
21,Estonia,3.5,2013,Tot,EMP8,233
22,Slovenia,16.5,2013,Tot,EMP8,705
23,Latvia,4.4,2013,Tot,EMP8,428
24,Lithuania,2.7,2013,Tot,EMP8,440
0,Austria,9.1,2014,Tot,EMP8,40
1,Belgium,8.7,2014,Tot,EMP8,56
2,Czech Republic,10.2,2014,Tot,EMP8,203
3,Denmark,8.5,2014,Tot,EMP8,208
4,France,16,2014,Tot,EMP8,250
5,Germany,13,2014,Tot,EMP8,276
6,Greece,11.7,2014,Tot,EMP8,300
7,Hungary,10.8,2014,Tot,EMP8,348
8,Iceland,13.4,2014,Tot,EMP8,352
9,Ireland,9.3,2014,Tot,EMP8,372
10,Italy,13.6,2014,Tot,EMP8,380
11,Luxembourg,8.2,2014,Tot,EMP8,442
12,Netherlands,21.5,2014,Tot,EMP8,528
13,Norway,7.9,2014,Tot,EMP8,578
14,Poland,28.4,2014,Tot,EMP8,616
15,Portugal,21.5,2014,Tot,EMP8,620
16,Slovak Republic,8.9,2014,Tot,EMP8,703
17,Spain,24,2014,Tot,EMP8,724
18,Sweden,17.5,2014,Tot,EMP8,752
19,Switzerland,13.1,2014,Tot,EMP8,756
20,United Kingdom,6.4,2014,Tot,EMP8,826
21,Estonia,3.2,2014,Tot,EMP8,233
22,Slovenia,16.7,2014,Tot,EMP8,705
23,Latvia,3.3,2014,Tot,EMP8,428
24,Lithuania,2.8,2014,Tot,EMP8,440
0,Austria,9.1,2015,Tot,EMP8,40
1,Belgium,9,2015,Tot,EMP8,56
2,Czech Republic,10.5,2015,Tot,EMP8,203
3,Denmark,8.6,2015,Tot,EMP8,208
4,France,16.7,2015,Tot,EMP8,250
5,Germany,13.1,2015,Tot,EMP8,276
6,Greece,12,2015,Tot,EMP8,300
7,Hungary,11.4,2015,Tot,EMP8,348
8,Iceland,12.9,2015,Tot,EMP8,352
9,Ireland,8.7,2015,Tot,EMP8,372
10,Italy,14,2015,Tot,EMP8,380
11,Luxembourg,10.2,2015,Tot,EMP8,442
12,Netherlands,20.2,2015,Tot,EMP8,528
13,Norway,8.1,2015,Tot,EMP8,578
14,Poland,28,2015,Tot,EMP8,616
15,Portugal,22,2015,Tot,EMP8,620
16,Slovak Republic,10.6,2015,Tot,EMP8,703
17,Spain,25.1,2015,Tot,EMP8,724
18,Sweden,17.2,2015,Tot,EMP8,752
19,Switzerland,13.6,2015,Tot,EMP8,756
20,United Kingdom,6.2,2015,Tot,EMP8,826
21,Estonia,3.5,2015,Tot,EMP8,233
22,Slovenia,18,2015,Tot,EMP8,705
23,Latvia,3.8,2015,Tot,EMP8,428
