,Country,Value,Year,Sex,Indicator,id
0,Austria,9.4,2010,Tot,EMP8,0
1,Belgium,8.1,2010,Tot,EMP8,1
2,Czech Republic,8.9,2010,Tot,EMP8,2
3,Denmark,8.4,2010,Tot,EMP8,3
4,France,15.1,2010,Tot,EMP8,4
5,Germany,14.5,2010,Tot,EMP8,5
6,Greece,12.6,2010,Tot,EMP8,6
7,Hungary,9.8,2010,Tot,EMP8,7
8,Iceland,12.4,2010,Tot,EMP8,8
9,Ireland,9.6,2010,Tot,EMP8,9
10,Italy,12.7,2010,Tot,EMP8,10
11,Luxembourg,7.1,2010,Tot,EMP8,11
12,Netherlands,18.5,2010,Tot,EMP8,12
13,Norway,8.4,2010,Tot,EMP8,13
14,Poland,27.3,2010,Tot,EMP8,14
15,Portugal,22.8,2010,Tot,EMP8,15
16,Slovak Republic,5.8,2010,Tot,EMP8,16
17,Spain,24.7,2010,Tot,EMP8,17
18,Sweden,16.4,2010,Tot,EMP8,18
19,Switzerland,13.1,2010,Tot,EMP8,19
20,United Kingdom,6.1,2010,Tot,EMP8,20
21,Estonia,3.7,2010,Tot,EMP8,21
22,Slovenia,17.3,2010,Tot,EMP8,22
23,Latvia,7.1,2010,Tot,EMP8,23
24,Lithuania,2.4,2010,Tot,EMP8,24
