,Country,Value,Year,Sex,Indicator,id
0,Austria,19.2,2010,Tot,EMP9_5,0
1,Belgium,7.0,2010,Tot,EMP9_5,1
2,Czech Republic,15.8,2010,Tot,EMP9_5,2
3,Denmark,8.9,2010,Tot,EMP9_5,3
4,France,9.0,2010,Tot,EMP9_5,4
5,Germany,16.7,2010,Tot,EMP9_5,5
6,Greece,9.9,2010,Tot,EMP9_5,6
7,Hungary,6.4,2010,Tot,EMP9_5,7
8,Iceland,16.4,2010,Tot,EMP9_5,8
9,Ireland,14.3,2010,Tot,EMP9_5,9
10,Italy,5.1,2010,Tot,EMP9_5,10
11,Luxembourg,5.0,2010,Tot,EMP9_5,11
12,Netherlands,18.2,2010,Tot,EMP9_5,12
13,Norway,8.4,2010,Tot,EMP9_5,13
14,Poland,7.2,2010,Tot,EMP9_5,14
15,Portugal,16.0,2010,Tot,EMP9_5,15
16,Slovak Republic,14.9,2010,Tot,EMP9_5,16
17,Spain,13.5,2010,Tot,EMP9_5,17
18,Sweden,9.4,2010,Tot,EMP9_5,18
19,Switzerland,20.1,2010,Tot,EMP9_5,19
20,United Kingdom,19.2,2010,Tot,EMP9_5,20
21,Estonia,23.5,2010,Tot,EMP9_5,21
22,Slovenia,1.0,2010,Tot,EMP9_5,22
23,Latvia,19.1,2010,Tot,EMP9_5,23
24,Lithuania,10.6,2010,Tot,EMP9_5,24
0,Austria,18.6,2011,Tot,EMP9_5,0
1,Belgium,5.8,2011,Tot,EMP9_5,1
2,Czech Republic,16.3,2011,Tot,EMP9_5,2
3,Denmark,7.9,2011,Tot,EMP9_5,3
4,France,14.0,2011,Tot,EMP9_5,4
5,Germany,16.9,2011,Tot,EMP9_5,5
6,Greece,10.7,2011,Tot,EMP9_5,6
7,Hungary,6.9,2011,Tot,EMP9_5,7
8,Iceland,14.1,2011,Tot,EMP9_5,8
9,Ireland,14.3,2011,Tot,EMP9_5,9
10,Italy,5.1,2011,Tot,EMP9_5,10
11,Luxembourg,5.0,2011,Tot,EMP9_5,11
12,Netherlands,18.2,2011,Tot,EMP9_5,12
13,Norway,8.1,2011,Tot,EMP9_5,13
14,Poland,7.2,2011,Tot,EMP9_5,14
15,Portugal,15.2,2011,Tot,EMP9_5,15
16,Slovak Republic,15.4,2011,Tot,EMP9_5,16
17,Spain,13.5,2011,Tot,EMP9_5,17
18,Sweden,9.2,2011,Tot,EMP9_5,18
19,Switzerland,20.1,2011,Tot,EMP9_5,19
20,United Kingdom,18.2,2011,Tot,EMP9_5,20
21,Estonia,23.5,2011,Tot,EMP9_5,21
22,Slovenia,1.0,2011,Tot,EMP9_5,22
23,Latvia,19.1,2011,Tot,EMP9_5,23
24,Lithuania,10.6,2011,Tot,EMP9_5,24
0,Austria,18.2,2012,Tot,EMP9_5,0
1,Belgium,6.4,2012,Tot,EMP9_5,1
2,Czech Republic,15.3,2012,Tot,EMP9_5,2
3,Denmark,7.0,2012,Tot,EMP9_5,3
4,France,13.7,2012,Tot,EMP9_5,4
5,Germany,15.6,2012,Tot,EMP9_5,5
6,Greece,6.9,2012,Tot,EMP9_5,6
7,Hungary,11.3,2012,Tot,EMP9_5,7
8,Iceland,14.1,2012,Tot,EMP9_5,8
9,Ireland,14.3,2012,Tot,EMP9_5,9
10,Italy,11.1,2012,Tot,EMP9_5,10
11,Luxembourg,5.0,2012,Tot,EMP9_5,11
12,Netherlands,18.2,2012,Tot,EMP9_5,12
13,Norway,6.7,2012,Tot,EMP9_5,13
14,Poland,10.6,2012,Tot,EMP9_5,14
15,Portugal,16.3,2012,Tot,EMP9_5,15
16,Slovak Republic,16.0,2012,Tot,EMP9_5,16
17,Spain,13.5,2012,Tot,EMP9_5,17
18,Sweden,9.3,2012,Tot,EMP9_5,18
19,Switzerland,19.3,2012,Tot,EMP9_5,19
20,United Kingdom,17.8,2012,Tot,EMP9_5,20
21,Estonia,23.5,2012,Tot,EMP9_5,21
22,Slovenia,1.0,2012,Tot,EMP9_5,22
23,Latvia,19.1,2012,Tot,EMP9_5,23
24,Lithuania,10.6,2012,Tot,EMP9_5,24
0,Austria,18.1,2013,Tot,EMP9_5,0
1,Belgium,5.9,2013,Tot,EMP9_5,1
2,Czech Republic,15.4,2013,Tot,EMP9_5,2
3,Denmark,6.8,2013,Tot,EMP9_5,3
4,France,13.7,2013,Tot,EMP9_5,4
5,Germany,14.1,2013,Tot,EMP9_5,5
6,Greece,11.3,2013,Tot,EMP9_5,6
7,Hungary,8.7,2013,Tot,EMP9_5,7
8,Iceland,14.5,2013,Tot,EMP9_5,8
9,Ireland,14.3,2013,Tot,EMP9_5,9
10,Italy,11.1,2013,Tot,EMP9_5,10
11,Luxembourg,5.0,2013,Tot,EMP9_5,11
12,Netherlands,18.2,2013,Tot,EMP9_5,12
13,Norway,7.3,2013,Tot,EMP9_5,13
14,Poland,10.6,2013,Tot,EMP9_5,14
15,Portugal,16.7,2013,Tot,EMP9_5,15
16,Slovak Republic,14.1,2013,Tot,EMP9_5,16
17,Spain,13.5,2013,Tot,EMP9_5,17
18,Sweden,9.4,2013,Tot,EMP9_5,18
19,Switzerland,19.3,2013,Tot,EMP9_5,19
20,United Kingdom,17.5,2013,Tot,EMP9_5,20
21,Estonia,23.5,2013,Tot,EMP9_5,21
